2026-05-12 11:47:53,472 | WARNING | Received notification from DBMS server: {severity: WARNING} {code: Neo.ClientNotification.Statement.FeatureDeprecationWarning} {category: DEPRECATION} {title: This feature is deprecated and will be removed in future versions.} {description: The query used a deprecated function. ('id' has been replaced by 'elementId or consider using an application-generated id')} {position: line: 1, column: 124, offset: 123} for query: "UNWIND $ids AS rid MATCH (s)-[r:`HAS_COMPONENT`]->(t) WHERE id(r) = rid CALL {   WITH s, rid   MATCH (s)-[rs]-(sn)   WHERE id(rs) <> rid   RETURN collect({type: type(rs), neighbor: coalesce(sn.name, ''), labels: labels(sn)})[0..3] AS s_rels } CALL {   WITH t, rid   MATCH (t)-[rt]-(tn)   WHERE id(rt) <> rid   RETURN collect({type: type(rt), neighbor: coalesce(tn.name, ''), labels: labels(tn)})[0..3] AS t_rels } RETURN id(r) AS id, type(r) AS current_type,   {labels: labels(s), name: coalesce(s.name, '')} AS source,   {labels: labels(t), name: coalesce(t.name, '')} AS target,   s_rels AS source_context, t_rels AS target_context"
2026-05-12 11:47:53,472 | WARNING | Received notification from DBMS server: {severity: WARNING} {code: Neo.ClientNotification.Statement.FeatureDeprecationWarning} {category: DEPRECATION} {title: This feature is deprecated and will be removed in future versions.} {description: The query used a deprecated function. ('id' has been replaced by 'elementId or consider using an application-generated id')} {position: line: 1, column: 422, offset: 421} for query: "UNWIND $ids AS rid MATCH (s)-[r:`HAS_COMPONENT`]->(t) WHERE id(r) = rid CALL {   WITH s, rid   MATCH (s)-[rs]-(sn)   WHERE id(rs) <> rid   RETURN collect({type: type(rs), neighbor: coalesce(sn.name, ''), labels: labels(sn)})[0..3] AS s_rels } CALL {   WITH t, rid   MATCH (t)-[rt]-(tn)   WHERE id(rt) <> rid   RETURN collect({type: type(rt), neighbor: coalesce(tn.name, ''), labels: labels(tn)})[0..3] AS t_rels } RETURN id(r) AS id, type(r) AS current_type,   {labels: labels(s), name: coalesce(s.name, '')} AS source,   {labels: labels(t), name: coalesce(t.name, '')} AS target,   s_rels AS source_context, t_rels AS target_context"
2026-05-12 11:47:53,472 | WARNING | Received notification from DBMS server: {severity: WARNING} {code: Neo.ClientNotification.Statement.FeatureDeprecationWarning} {category: DEPRECATION} {title: This feature is deprecated and will be removed in future versions.} {description: CALL subquery without a variable scope clause is deprecated. Use CALL (t, rid) { ... }} {position: line: 1, column: 244, offset: 243} for query: "UNWIND $ids AS rid MATCH (s)-[r:`HAS_COMPONENT`]->(t) WHERE id(r) = rid CALL {   WITH s, rid   MATCH (s)-[rs]-(sn)   WHERE id(rs) <> rid   RETURN collect({type: type(rs), neighbor: coalesce(sn.name, ''), labels: labels(sn)})[0..3] AS s_rels } CALL {   WITH t, rid   MATCH (t)-[rt]-(tn)   WHERE id(rt) <> rid   RETURN collect({type: type(rt), neighbor: coalesce(tn.name, ''), labels: labels(tn)})[0..3] AS t_rels } RETURN id(r) AS id, type(r) AS current_type,   {labels: labels(s), name: coalesce(s.name, '')} AS source,   {labels: labels(t), name: coalesce(t.name, '')} AS target,   s_rels AS source_context, t_rels AS target_context"
2026-05-12 11:49:15,197 | INFO | HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 200 OK"
2026-05-12 11:49:15,372 | WARNING | Received notification from DBMS server: {severity: WARNING} {code: Neo.ClientNotification.Statement.FeatureDeprecationWarning} {category: DEPRECATION} {title: This feature is deprecated and will be removed in future versions.} {description: CALL subquery without a variable scope clause is deprecated. Use CALL (s, rid) { ... }} {position: line: 1, column: 73, offset: 72} for query: "UNWIND $ids AS rid MATCH (s)-[r:`HAS_COMPONENT`]->(t) WHERE id(r) = rid CALL {   WITH s, rid   MATCH (s)-[rs]-(sn)   WHERE id(rs) <> rid   RETURN collect({type: type(rs), neighbor: coalesce(sn.name, ''), labels: labels(sn)})[0..3] AS s_rels } CALL {   WITH t, rid   MATCH (t)-[rt]-(tn)   WHERE id(rt) <> rid   RETURN collect({type: type(rt), neighbor: coalesce(tn.name, ''), labels: labels(tn)})[0..3] AS t_rels } RETURN id(r) AS id, type(r) AS current_type,   {labels: labels(s), name: coalesce(s.name, '')} AS source,   {labels: labels(t), name: coalesce(t.name, '')} AS target,   s_rels AS source_context, t_rels AS target_context"
2026-05-12 11:49:15,372 | WARNING | Received notification from DBMS server: {severity: WARNING} {code: Neo.ClientNotification.Statement.FeatureDeprecationWarning} {category: DEPRECATION} {title: This feature is deprecated and will be removed in future versions.} {description: The query used a deprecated function. ('id' has been replaced by 'elementId or consider using an application-generated id')} {position: line: 1, column: 295, offset: 294} for query: "UNWIND $ids AS rid MATCH (s)-[r:`HAS_COMPONENT`]->(t) WHERE id(r) = rid CALL {   WITH s, rid   MATCH (s)-[rs]-(sn)   WHERE id(rs) <> rid   RETURN collect({type: type(rs), neighbor: coalesce(sn.name, ''), labels: labels(sn)})[0..3] AS s_rels } CALL {   WITH t, rid   MATCH (t)-[rt]-(tn)   WHERE id(rt) <> rid   RETURN collect({type: type(rt), neighbor: coalesce(tn.name, ''), labels: labels(tn)})[0..3] AS t_rels } RETURN id(r) AS id, type(r) AS current_type,   {labels: labels(s), name: coalesce(s.name, '')} AS source,   {labels: labels(t), name: coalesce(t.name, '')} AS target,   s_rels AS source_context, t_rels AS target_context"
2026-05-12 11:49:15,372 | WARNING | Received notification from DBMS server: {severity: WARNING} {code: Neo.ClientNotification.Statement.FeatureDeprecationWarning} {category: DEPRECATION} {title: This feature is deprecated and will be removed in future versions.} {description: The query used a deprecated function. ('id' has been replaced by 'elementId or consider using an application-generated id')} {position: line: 1, column: 61, offset: 60} for query: "UNWIND $ids AS rid MATCH (s)-[r:`HAS_COMPONENT`]->(t) WHERE id(r) = rid CALL {   WITH s, rid   MATCH (s)-[rs]-(sn)   WHERE id(rs) <> rid   RETURN collect({type: type(rs), neighbor: coalesce(sn.name, ''), labels: labels(sn)})[0..3] AS s_rels } CALL {   WITH t, rid   MATCH (t)-[rt]-(tn)   WHERE id(rt) <> rid   RETURN collect({type: type(rt), neighbor: coalesce(tn.name, ''), labels: labels(tn)})[0..3] AS t_rels } RETURN id(r) AS id, type(r) AS current_type,   {labels: labels(s), name: coalesce(s.name, '')} AS source,   {labels: labels(t), name: coalesce(t.name, '')} AS target,   s_rels AS source_context, t_rels AS target_context"
2026-05-12 11:49:15,372 | WARNING | Received notification from DBMS server: {severity: WARNING} {code: Neo.ClientNotification.Statement.FeatureDeprecationWarning} {category: DEPRECATION} {title: This feature is deprecated and will be removed in future versions.} {description: The query used a deprecated function. ('id' has been replaced by 'elementId or consider using an application-generated id')} {position: line: 1, column: 124, offset: 123} for query: "UNWIND $ids AS rid MATCH (s)-[r:`HAS_COMPONENT`]->(t) WHERE id(r) = rid CALL {   WITH s, rid   MATCH (s)-[rs]-(sn)   WHERE id(rs) <> rid   RETURN collect({type: type(rs), neighbor: coalesce(sn.name, ''), labels: labels(sn)})[0..3] AS s_rels } CALL {   WITH t, rid   MATCH (t)-[rt]-(tn)   WHERE id(rt) <> rid   RETURN collect({type: type(rt), neighbor: coalesce(tn.name, ''), labels: labels(tn)})[0..3] AS t_rels } RETURN id(r) AS id, type(r) AS current_type,   {labels: labels(s), name: coalesce(s.name, '')} AS source,   {labels: labels(t), name: coalesce(t.name, '')} AS target,   s_rels AS source_context, t_rels AS target_context"
2026-05-12 11:49:15,373 | WARNING | Received notification from DBMS server: {severity: WARNING} {code: Neo.ClientNotification.Statement.FeatureDeprecationWarning} {category: DEPRECATION} {title: This feature is deprecated and will be removed in future versions.} {description: The query used a deprecated function. ('id' has been replaced by 'elementId or consider using an application-generated id')} {position: line: 1, column: 422, offset: 421} for query: "UNWIND $ids AS rid MATCH (s)-[r:`HAS_COMPONENT`]->(t) WHERE id(r) = rid CALL {   WITH s, rid   MATCH (s)-[rs]-(sn)   WHERE id(rs) <> rid   RETURN collect({type: type(rs), neighbor: coalesce(sn.name, ''), labels: labels(sn)})[0..3] AS s_rels } CALL {   WITH t, rid   MATCH (t)-[rt]-(tn)   WHERE id(rt) <> rid   RETURN collect({type: type(rt), neighbor: coalesce(tn.name, ''), labels: labels(tn)})[0..3] AS t_rels } RETURN id(r) AS id, type(r) AS current_type,   {labels: labels(s), name: coalesce(s.name, '')} AS source,   {labels: labels(t), name: coalesce(t.name, '')} AS target,   s_rels AS source_context, t_rels AS target_context"
2026-05-12 11:49:15,373 | WARNING | Received notification from DBMS server: {severity: WARNING} {code: Neo.ClientNotification.Statement.FeatureDeprecationWarning} {category: DEPRECATION} {title: This feature is deprecated and will be removed in future versions.} {description: CALL subquery without a variable scope clause is deprecated. Use CALL (t, rid) { ... }} {position: line: 1, column: 244, offset: 243} for query: "UNWIND $ids AS rid MATCH (s)-[r:`HAS_COMPONENT`]->(t) WHERE id(r) = rid CALL {   WITH s, rid   MATCH (s)-[rs]-(sn)   WHERE id(rs) <> rid   RETURN collect({type: type(rs), neighbor: coalesce(sn.name, ''), labels: labels(sn)})[0..3] AS s_rels } CALL {   WITH t, rid   MATCH (t)-[rt]-(tn)   WHERE id(rt) <> rid   RETURN collect({type: type(rt), neighbor: coalesce(tn.name, ''), labels: labels(tn)})[0..3] AS t_rels } RETURN id(r) AS id, type(r) AS current_type,   {labels: labels(s), name: coalesce(s.name, '')} AS source,   {labels: labels(t), name: coalesce(t.name, '')} AS target,   s_rels AS source_context, t_rels AS target_context"
